What is your bid when your value is 10?,What is your bid when your value is 20?,What is your bid when your value is 30?,What is your bid when your value is 40?,What is your bid when your value is 50?,What is your bid when your value is 60?,What is your bid when your value is 70?,What is your bid when your value is 80?,What is your bid when your value is 90?,What is your bid when your value is 100?
5,15,20,30,35,45,60,60,70,80
5,10,15,20,25,30,35,40,45,50
10,20,30,40,50,60,70,80,90,100
5,10,15,20,25,30,35,40,45,50
5,10,20,30,40,50,60,70,80,90
55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5
5,10,15,20,25,30,35,40,45,91
9,11,11,21,21,31,31,41,41,51
9.911,19.911,29.911,39.911,49.911,59.911,69.911,79.911,89.911,99.911
10,20,30,40,50,60,70,80,90,100
0.01,10.01,20.01,30.01,40.01,50.01,60.01,70.01,70.02,80.02
9.9,19.9,29.9,39.9,49.9,59.9,69.9,79.9,89.9,99.9
10,10,10,10,10,10,10,10,10,10
5,10,15,20,25,30,35,40,45,50
10,11,21,31,41,51,61,71,81,91
10,11,21,31,41,51,61,71,81,91
6,11,16,21,26,31,36,41,46,51
10,20,30,40,50,60,70,80,90,100
5,10,15,20,25,30,35,40,90,50
10,10,20,20,30,30,40,40,50,50
10,10,20,20,30,30,40,40,50,50
10,11,21,31,41,51,61,71,81,91
5,10,15,20,25,30,35,40,45,50
9,11,21,31,41,51,61,71,81,91
10,11,21,31,41,51,61,71,81,91
9,11,21,31,41,51,61,71,81,91
5,10,15,20,25,30,35,40,45,50
9,10,20,30,40,50,60,70,80,90
0.0001,10.0001,20.0001,30.0001,40.0001,50.0001,60.0001,70.0001,80.0001,90.0001
5,10,15,20,25,30,35,40,45,50
9,18,27,36,40,50,60,60,70,80
10,11,21,31,41,51,61,71,81,91
9.2,19.2,28.2,36.3,46.4,55.5,66.6,75.4,85.7,95.6
5,10,15,20,25,30,35,40,45,50
9,10,20,30,40,55,54,53,52,51
9,11,20,30,40,50,60,70,80,90
10,20,30,40,50,60,60,70,70,70
0.01,10.01,20.01,30.01,40.01,50.01,60.01,70.01,80.01,90.01
0.0001,10.0001,20.0001,30.0001,40.0001,50.0001,60.0001,70.0001,80.0001,90.0001
55,55,55,55,55,55,55,55,55,55
0,10,20,30,40,50,60,70,80,90
5,10,15,20,25,30,35,40,45,50
